model,scenario,bucket,constraint,target,related,unrelated,relation,unprimed_context,related_context,unrelated_context,facilitation
bert-base-uncased,word,0,0,apart,together,reef,antonym,[CLS] the last word of this sentence is [MASK] . [SEP],[CLS] together. the last word of this sentence is [MASK] . [SEP],[CLS] reef. the last word of this sentence is [MASK] . [SEP],5.616379871340846
bert-base-uncased,word,0,0,branch,twig,science,synonym,[CLS] the last word of this sentence is [MASK] . [SEP],[CLS] twig. the last word of this sentence is [MASK] . [SEP],[CLS] science. the last word of this sentence is [MASK] . [SEP],5.6723010828544655
bert-base-uncased,word,0,0,spring,autumn,spicy,category,[CLS] the last word of this sentence is [MASK] . [SEP],[CLS] autumn. the last word of this sentence is [MASK] . [SEP],[CLS] spicy. the last word of this sentence is [MASK] . [SEP],8.836103949915362
bert-large-uncased,word,0,0,apart,together,reef,antonym,[CLS] the last word of this sentence is [MASK] . [SEP],[CLS] together. the last word of this sentence is [MASK] . [SEP],[CLS] reef. the last word of this sentence is [MASK] . [SEP],5.714120333648763
bert-large-uncased,word,0,0,branch,twig,science,synonym,[CLS] the last word of this sentence is [MASK] . [SEP],[CLS] twig. the last word of this sentence is [MASK] . [SEP],[CLS] science. the last word of this sentence is [MASK] . [SEP],4.6563422830522745
bert-large-uncased,word,0,0,spring,autumn,spicy,category,[CLS] the last word of this sentence is [MASK] . [SEP],[CLS] autumn. the last word of this sentence is [MASK] . [SEP],[CLS] spicy. the last word of this sentence is [MASK] . [SEP],6.203389797580366
bert-base-uncased,sentence,0,0,apart,together,reef,antonym,[CLS] the last word of this sentence is [MASK] . [SEP],[CLS] the next word is together. the last word of this sentence is [MASK] . [SEP],[CLS] the next word is reef. the last word of this sentence is [MASK] . [SEP],8.280126607090281
bert-base-uncased,sentence,0,0,branch,twig,science,synonym,[CLS] the last word of this sentence is [MASK] . [SEP],[CLS] the next word is twig. the last word of this sentence is [MASK] . [SEP],[CLS] the next word is science. the last word of this sentence is [MASK] . [SEP],8.792279327817818
bert-base-uncased,sentence,0,0,spring,autumn,spicy,category,[CLS] the last word of this sentence is [MASK] . [SEP],[CLS] the next word is autumn. the last word of this sentence is [MASK] . [SEP],[CLS] the next word is spicy. the last word of this sentence is [MASK] . [SEP],11.161383562020315
bert-large-uncased,sentence,0,0,apart,together,reef,antonym,[CLS] the last word of this sentence is [MASK] . [SEP],[CLS] the next word is together. the last word of this sentence is [MASK] . [SEP],[CLS] the next word is reef. the last word of this sentence is [MASK] . [SEP],8.701225791826491
bert-large-uncased,sentence,0,0,branch,twig,science,synonym,[CLS] the last word of this sentence is [MASK] . [SEP],[CLS] the next word is twig. the last word of this sentence is [MASK] . [SEP],[CLS] the next word is science. the last word of this sentence is [MASK] . [SEP],7.428855099470881
bert-large-uncased,sentence,0,0,spring,autumn,spicy,category,[CLS] the last word of this sentence is [MASK] . [SEP],[CLS] the next word is autumn. the last word of this sentence is [MASK] . [SEP],[CLS] the next word is spicy. the last word of this sentence is [MASK] . [SEP],11.388968115332634
bert-base-uncased,word,1,0.0965888836,apart,together,reef,antonym,[CLS] they started to grow [MASK] . [SEP],[CLS] together. they started to grow [MASK] . [SEP],[CLS] reef. they started to grow [MASK] . [SEP],6.714618937189639
bert-base-uncased,word,1,0.0686250851,branch,twig,science,synonym,[CLS] he grabbed the [MASK] and clung to life . [SEP],[CLS] twig. he grabbed the [MASK] and clung to life . [SEP],[CLS] science. he grabbed the [MASK] and clung to life . [SEP],4.230061039511742
bert-base-uncased,word,1,0.0805396065,spring,autumn,spicy,category,[CLS] the kids were anxious for [MASK] . [SEP],[CLS] autumn. the kids were anxious for [MASK] . [SEP],[CLS] spicy. the kids were anxious for [MASK] . [SEP],5.465754858808401
bert-large-uncased,word,1,0.0965888836,apart,together,reef,antonym,[CLS] they started to grow [MASK] . [SEP],[CLS] together. they started to grow [MASK] . [SEP],[CLS] reef. they started to grow [MASK] . [SEP],3.4258340012202226
bert-large-uncased,word,1,0.0686250851,branch,twig,science,synonym,[CLS] he grabbed the [MASK] and clung to life . [SEP],[CLS] twig. he grabbed the [MASK] and clung to life . [SEP],[CLS] science. he grabbed the [MASK] and clung to life . [SEP],3.7019943780249047
bert-large-uncased,word,1,0.0805396065,spring,autumn,spicy,category,[CLS] the kids were anxious for [MASK] . [SEP],[CLS] autumn. the kids were anxious for [MASK] . [SEP],[CLS] spicy. the kids were anxious for [MASK] . [SEP],5.4524668766746425
bert-base-uncased,sentence,1,0.0965888836,apart,together,reef,antonym,[CLS] they started to grow [MASK] . [SEP],[CLS] the next word is together. they started to grow [MASK] . [SEP],[CLS] the next word is reef. they started to grow [MASK] . [SEP],5.6415810232944414
bert-base-uncased,sentence,1,0.0686250851,branch,twig,science,synonym,[CLS] he grabbed the [MASK] and clung to life . [SEP],[CLS] the next word is twig. he grabbed the [MASK] and clung to life . [SEP],[CLS] the next word is science. he grabbed the [MASK] and clung to life . [SEP],3.9259249242261705
bert-base-uncased,sentence,1,0.0805396065,spring,autumn,spicy,category,[CLS] the kids were anxious for [MASK] . [SEP],[CLS] the next word is autumn. the kids were anxious for [MASK] . [SEP],[CLS] the next word is spicy. the kids were anxious for [MASK] . [SEP],6.062055934448811
bert-large-uncased,sentence,1,0.0965888836,apart,together,reef,antonym,[CLS] they started to grow [MASK] . [SEP],[CLS] the next word is together. they started to grow [MASK] . [SEP],[CLS] the next word is reef. they started to grow [MASK] . [SEP],2.315899525223164
bert-large-uncased,sentence,1,0.0686250851,branch,twig,science,synonym,[CLS] he grabbed the [MASK] and clung to life . [SEP],[CLS] the next word is twig. he grabbed the [MASK] and clung to life . [SEP],[CLS] the next word is science. he grabbed the [MASK] and clung to life . [SEP],3.9422231918231176
bert-large-uncased,sentence,1,0.0805396065,spring,autumn,spicy,category,[CLS] the kids were anxious for [MASK] . [SEP],[CLS] the next word is autumn. the kids were anxious for [MASK] . [SEP],[CLS] the next word is spicy. the kids were anxious for [MASK] . [SEP],7.152282745668371
bert-base-uncased,word,2,0.1834163219,apart,together,reef,antonym,[CLS] his old one fell [MASK] . [SEP],[CLS] together. his old one fell [MASK] . [SEP],[CLS] reef. his old one fell [MASK] . [SEP],1.989437415933452
bert-base-uncased,word,2,0.1664403304,branch,twig,science,synonym,[CLS] the [MASK] was so big and heavy rick could n't open his doors . [SEP],[CLS] twig. the [MASK] was so big and heavy rick could n't open his doors . [SEP],[CLS] science. the [MASK] was so big and heavy rick could n't open his doors . [SEP],4.292741976436806
bert-base-uncased,word,2,0.1808513403,spring,autumn,spicy,category,[CLS] janet planted pumpkin seeds in the [MASK] . [SEP],[CLS] autumn. janet planted pumpkin seeds in the [MASK] . [SEP],[CLS] spicy. janet planted pumpkin seeds in the [MASK] . [SEP],3.0686647954760904
bert-large-uncased,word,2,0.1834163219,apart,together,reef,antonym,[CLS] his old one fell [MASK] . [SEP],[CLS] together. his old one fell [MASK] . [SEP],[CLS] reef. his old one fell [MASK] . [SEP],0.5061220328886242
bert-large-uncased,word,2,0.1664403304,branch,twig,science,synonym,[CLS] the [MASK] was so big and heavy rick could n't open his doors . [SEP],[CLS] twig. the [MASK] was so big and heavy rick could n't open his doors . [SEP],[CLS] science. the [MASK] was so big and heavy rick could n't open his doors . [SEP],3.179136885590087
bert-large-uncased,word,2,0.1808513403,spring,autumn,spicy,category,[CLS] janet planted pumpkin seeds in the [MASK] . [SEP],[CLS] autumn. janet planted pumpkin seeds in the [MASK] . [SEP],[CLS] spicy. janet planted pumpkin seeds in the [MASK] . [SEP],-0.5941981640646636
bert-base-uncased,sentence,2,0.1834163219,apart,together,reef,antonym,[CLS] his old one fell [MASK] . [SEP],[CLS] the next word is together. his old one fell [MASK] . [SEP],[CLS] the next word is reef. his old one fell [MASK] . [SEP],0.4471692990064648
bert-base-uncased,sentence,2,0.1664403304,branch,twig,science,synonym,[CLS] the [MASK] was so big and heavy rick could n't open his doors . [SEP],[CLS] the next word is twig. the [MASK] was so big and heavy rick could n't open his doors . [SEP],[CLS] the next word is science. the [MASK] was so big and heavy rick could n't open his doors . [SEP],5.132936143613182
bert-base-uncased,sentence,2,0.1808513403,spring,autumn,spicy,category,[CLS] janet planted pumpkin seeds in the [MASK] . [SEP],[CLS] the next word is autumn. janet planted pumpkin seeds in the [MASK] . [SEP],[CLS] the next word is spicy. janet planted pumpkin seeds in the [MASK] . [SEP],4.037196267726094
bert-large-uncased,sentence,2,0.1834163219,apart,together,reef,antonym,[CLS] his old one fell [MASK] . [SEP],[CLS] the next word is together. his old one fell [MASK] . [SEP],[CLS] the next word is reef. his old one fell [MASK] . [SEP],0.35083359777956824
bert-large-uncased,sentence,2,0.1664403304,branch,twig,science,synonym,[CLS] the [MASK] was so big and heavy rick could n't open his doors . [SEP],[CLS] the next word is twig. the [MASK] was so big and heavy rick could n't open his doors . [SEP],[CLS] the next word is science. the [MASK] was so big and heavy rick could n't open his doors . [SEP],2.068389582300731
bert-large-uncased,sentence,2,0.1808513403,spring,autumn,spicy,category,[CLS] janet planted pumpkin seeds in the [MASK] . [SEP],[CLS] the next word is autumn. janet planted pumpkin seeds in the [MASK] . [SEP],[CLS] the next word is spicy. janet planted pumpkin seeds in the [MASK] . [SEP],3.6861896236081035
