category,constraint,target,related,unrelated,isolated_context,related_context,unrelated_context
open_class,high,abandon,disown,provision,"[CLS] thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] the next word is disown. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] the next word is provision. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]"
open_class,low,abandon,disown,provision,"[CLS] he decided to eat , and [MASK] his stuff . [SEP]","[CLS] the next word is disown. he decided to eat , and [MASK] his stuff . [SEP]","[CLS] the next word is provision. he decided to eat , and [MASK] his stuff . [SEP]"
open_class,high,ability,capability,fuel,[CLS] it won for its [MASK] to solve problems . [SEP],[CLS] the next word is capability. it won for its [MASK] to solve problems . [SEP],[CLS] the next word is fuel. it won for its [MASK] to solve problems . [SEP]
open_class,low,ability,capability,fuel,[CLS] he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] the next word is capability. he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] the next word is fuel. he wanted the [MASK] to get to the news before anyone else . [SEP]
open_class,high,abnormal,normal,egypt,[CLS] test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] the next word is normal. test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] the next word is egypt. test reveals that cara has an [MASK] heart rhythm . [SEP]
open_class,low,abnormal,normal,egypt,[CLS] she did a presentation focusing on the [MASK] thinness of models . [SEP],[CLS] the next word is normal. she did a presentation focusing on the [MASK] thinness of models . [SEP],[CLS] the next word is egypt. she did a presentation focusing on the [MASK] thinness of models . [SEP]
open_class,high,abuse,use,disgusting,[CLS] she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],[CLS] the next word is use. she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],[CLS] the next word is disgusting. she dealt with verbal [MASK] from her spouse on a daily basis . [SEP]
open_class,low,abuse,use,disgusting,[CLS] he faced endless [MASK] from his friends as a result . [SEP],[CLS] the next word is use. he faced endless [MASK] from his friends as a result . [SEP],[CLS] the next word is disgusting. he faced endless [MASK] from his friends as a result . [SEP]
open_class,high,accept,reject,jock,"[CLS] i apologized , but he said he did n't [MASK] my apology . [SEP]","[CLS] the next word is reject. i apologized , but he said he did n't [MASK] my apology . [SEP]","[CLS] the next word is jock. i apologized , but he said he did n't [MASK] my apology . [SEP]"
open_class,low,accept,reject,jock,[CLS] chad attempted to [MASK] a new task . [SEP],[CLS] the next word is reject. chad attempted to [MASK] a new task . [SEP],[CLS] the next word is jock. chad attempted to [MASK] a new task . [SEP]
open_class,high,account,checking,now,"[CLS] i had not been hiking recently , and did not take that into [MASK] . [SEP]","[CLS] the next word is checking. i had not been hiking recently , and did not take that into [MASK] . [SEP]","[CLS] the next word is now. i had not been hiking recently , and did not take that into [MASK] . [SEP]"
