context,constraint,entropy
[CLS] harry really showed improvement in his [MASK] compared to last year . [SEP],0.094573753,6.626337051391602
[CLS] all the women cleaned to their best [MASK] that week . [SEP],0.1075541824,7.475811958312988
[CLS] grief for a patient who died made jo doubt her [MASK] as a counselor . [SEP],0.2773305327,3.520015001296997
"[CLS] and when got home , he tested its waterproof [MASK] . [SEP]",0.3446687907,4.68918514251709
[CLS] and she became more confident in her drawing [MASK] . [SEP],0.4319785833,3.403064012527466
[CLS] mark has lost a significant amount of hearing [MASK] . [SEP],0.5369867831,4.83048152923584
[CLS] alec was happy to see his daughter developing her verbal [MASK] . [SEP],0.6960579902,0.9866983294487
[CLS] tisha grateful for her tap dancing [MASK] helping her travel . [SEP],0.7055445015,1.3225913047790527
[CLS] his best trick was his [MASK] to stand on his hands . [SEP],0.8965046704,0.6272759437561035
[CLS] she answered the question to the best of her [MASK] . [SEP],0.9068903923,0.6844645738601685
[CLS] but his [MASK] was banned before he could withdraw his earnings . [SEP],0.0577259529,8.273282051086426
[CLS] his friends told him someone else was using his [MASK] . [SEP],0.1729286015,7.004226207733154
[CLS] i put fifty dollars in an otc [MASK] . [SEP],0.2673867419,7.246381759643555
"[CLS] however , he looked into his [MASK] and there was no money . [SEP]",0.3112757951,2.6145877838134766
[CLS] ana only had a dollar left in her [MASK] when she was done . [SEP],0.4478029907,2.739694595336914
[CLS] i gave the teller a handful of money to deposit in my [MASK] . [SEP],0.501997754,2.9430360794067383
[CLS] sam checked his bank [MASK] . [SEP],0.6663128,3.028299331665039
[CLS] clara woke up and checked her bank [MASK] . [SEP],0.7121539,2.2219855785369873
"[CLS] somehow , thousands of dollars appeared in his bank [MASK] . [SEP]",0.8295559287,0.5826342105865479
[CLS] july started a savings [MASK] when she turned eight . [SEP],0.9038526416,0.9485395550727844
[CLS] now he has an indian tummy - [MASK] . [SEP],0.0627956558,8.816694259643555
[CLS] then they had a stomach [MASK] . [SEP],0.1687292233,5.484023094177246
[CLS] sammy had a terrible stomach [MASK] one morning . [SEP],0.2095260695,3.8609213829040527
"[CLS] a couple of days after that , i got a severe stomach [MASK] . [SEP]",0.3411226422,3.074793815612793
[CLS] she could n't go to a doctor for a tummy [MASK] from stealing cake . [SEP],0.4449496418,2.9914779663085938
[CLS] eating so much pie gave me such a belly [MASK] ! [SEP],0.5596891791,1.7020467519760132
"[CLS] kori ate every single one and despite her stomach [MASK] , she was happy . [SEP]",0.6201563478,2.131464958190918
[CLS] unfortunately her stomach began to [MASK] from the food . [SEP],0.7237782776,1.5288583040237427
[CLS] kia 's [MASK] was caused by a bone cancer called osteosarcoma ! [SEP],0.8648940921,0.788297176361084
[CLS] she started to notice a numb [MASK] in her tooth . [SEP],0.9115159512,1.083248496055603
[CLS] i caught her in the [MASK] . [SEP],0.098396048,6.568887710571289
[CLS] but abby had the [MASK] coming up and she was very nervous . [SEP],0.1123454869,6.408376693725586
[CLS] her [MASK] was to sing and play the piano . [SEP],0.2496251166,3.6991963386535645
[CLS] i was afraid of how she would [MASK] around all the other dogs there . [SEP],0.3732375652,2.5237603187561035
[CLS] rick and his friends took third place for their [MASK] . [SEP],0.4844649881,5.065462112426758
[CLS] then the opening [MASK] played . [SEP],0.5053228885,4.109961986541748
[CLS] she felt so stilted that she needed to [MASK] out . [SEP],0.6555078626,2.6269476413726807
"[CLS] mom tried to [MASK] upset , but she was laughing on the inside . [SEP]",0.7618630826,1.397106409072876
[CLS] recently his neighbor tried to [MASK] afraid of charles . [SEP],0.8575544953,1.1532799005508423
[CLS] jeff had a solo musical [MASK] in his hometown . [SEP],0.9548482895,0.5940428972244263
"[CLS] there , she gaped at all the lights and [MASK] . [SEP]",0.0885209069,7.498457908630371
"[CLS] he stepped on ed 's favorite [MASK] toy , breaking it . [SEP]",0.1810200736,6.807877063751221
[CLS] he interrupted game [MASK] with a jaunt that lasted about a minute . [SEP],0.2179194987,4.235012054443359
[CLS] gina was excited to be in on the [MASK] . [SEP],0.3264297396,5.266314506530762
"[CLS] because of quick [MASK] , everyone survived . [SEP]",0.4979290254,1.4066507816314697
"[CLS] afterwards , he realized that [MASK] was ill - advised . [SEP]",0.5693458617,2.267965316772461
[CLS] he was really bummed but decided to take [MASK] . [SEP],0.6648682058,2.7271666526794434
[CLS] my friends and i tried to make an [MASK] movie and i was the stuntman . [SEP],0.7251900733,1.9300289154052734
[CLS] he bought a batman [MASK] figure . [SEP],0.8535751104,0.37347471714019775
"[CLS] thinking about the best course of [MASK] , she made a call . [SEP]",0.9973487556,0.009144997224211693
[CLS] robin was a very famous [MASK] . [SEP],0.0910493992,7.760490417480469
[CLS] morgan had always wanted to be an [MASK] . [SEP],0.1573900208,4.577462196350098
[CLS] ryan is a tv [MASK] . [SEP],0.2260732949,4.489192008972168
"[CLS] instead of spouting equations , he 'd imitate a famous hollywood [MASK] . [SEP]",0.391096279,2.9605774879455566
[CLS] lucy dreams of being an [MASK] . [SEP],0.4668068588,2.4620683193206787
[CLS] the lead [MASK] in our school play was afraid of rabbits . [SEP],0.583938539,2.315215587615967
[CLS] paul is an [MASK] . [SEP],0.6123145521,3.032841682434082
[CLS] aaron was an [MASK] in a play . [SEP],0.7094044685,3.3733372688293457
"[CLS] that led to an acting career , and now he is the best [MASK] ever . [SEP]",0.82618016,1.4135422706604004
[CLS] tanner was an [MASK] in a play . [SEP],0.9279657602,0.30132362246513367
[CLS] sara sadly realized she had forgotten to [MASK] the egg ! [SEP],0.0967903286,6.764167785644531
