isolated_context,constraint,category
[CLS] harry really showed improvement in his [MASK] compared to last year . [SEP],0.094573753,1
[CLS] all the women cleaned to their best [MASK] that week . [SEP],0.1075541824,2
[CLS] grief for a patient who died made jo doubt her [MASK] as a counselor . [SEP],0.2773305327,3
"[CLS] and when got home , he tested its waterproof [MASK] . [SEP]",0.3446687907,4
[CLS] and she became more confident in her drawing [MASK] . [SEP],0.4319785833,5
[CLS] mark has lost a significant amount of hearing [MASK] . [SEP],0.5369867831,6
[CLS] alec was happy to see his daughter developing her verbal [MASK] . [SEP],0.6960579902,7
[CLS] tisha grateful for her tap dancing [MASK] helping her travel . [SEP],0.7055445015,8
[CLS] his best trick was his [MASK] to stand on his hands . [SEP],0.8965046704,9
[CLS] she answered the question to the best of her [MASK] . [SEP],0.9068903923,10
[CLS] but his [MASK] was banned before he could withdraw his earnings . [SEP],0.0577259529,1
[CLS] his friends told him someone else was using his [MASK] . [SEP],0.1729286015,2
[CLS] i put fifty dollars in an otc [MASK] . [SEP],0.2673867419,3
"[CLS] however , he looked into his [MASK] and there was no money . [SEP]",0.3112757951,4
[CLS] ana only had a dollar left in her [MASK] when she was done . [SEP],0.4478029907,5
[CLS] i gave the teller a handful of money to deposit in my [MASK] . [SEP],0.501997754,6
[CLS] sam checked his bank [MASK] . [SEP],0.6663128,7
[CLS] clara woke up and checked her bank [MASK] . [SEP],0.7121539,8
"[CLS] somehow , thousands of dollars appeared in his bank [MASK] . [SEP]",0.8295559287,9
[CLS] july started a savings [MASK] when she turned eight . [SEP],0.9038526416,10
[CLS] now he has an indian tummy - [MASK] . [SEP],0.0627956558,1
[CLS] then they had a stomach [MASK] . [SEP],0.1687292233,2
[CLS] sammy had a terrible stomach [MASK] one morning . [SEP],0.2095260695,3
"[CLS] a couple of days after that , i got a severe stomach [MASK] . [SEP]",0.3411226422,4
[CLS] she could n't go to a doctor for a tummy [MASK] from stealing cake . [SEP],0.4449496418,5
[CLS] eating so much pie gave me such a belly [MASK] ! [SEP],0.5596891791,6
"[CLS] kori ate every single one and despite her stomach [MASK] , she was happy . [SEP]",0.6201563478,7
[CLS] unfortunately her stomach began to [MASK] from the food . [SEP],0.7237782776,8
[CLS] kia 's [MASK] was caused by a bone cancer called osteosarcoma ! [SEP],0.8648940921,9
[CLS] she started to notice a numb [MASK] in her tooth . [SEP],0.9115159512,10
[CLS] i caught her in the [MASK] . [SEP],0.098396048,1
[CLS] but abby had the [MASK] coming up and she was very nervous . [SEP],0.1123454869,2
[CLS] her [MASK] was to sing and play the piano . [SEP],0.2496251166,3
[CLS] i was afraid of how she would [MASK] around all the other dogs there . [SEP],0.3732375652,4
[CLS] rick and his friends took third place for their [MASK] . [SEP],0.4844649881,5
[CLS] then the opening [MASK] played . [SEP],0.5053228885,6
[CLS] she felt so stilted that she needed to [MASK] out . [SEP],0.6555078626,7
"[CLS] mom tried to [MASK] upset , but she was laughing on the inside . [SEP]",0.7618630826,8
[CLS] recently his neighbor tried to [MASK] afraid of charles . [SEP],0.8575544953,9
[CLS] jeff had a solo musical [MASK] in his hometown . [SEP],0.9548482895,10
"[CLS] there , she gaped at all the lights and [MASK] . [SEP]",0.0885209069,1
"[CLS] he stepped on ed 's favorite [MASK] toy , breaking it . [SEP]",0.1810200736,2
[CLS] he interrupted game [MASK] with a jaunt that lasted about a minute . [SEP],0.2179194987,3
[CLS] gina was excited to be in on the [MASK] . [SEP],0.3264297396,4
"[CLS] because of quick [MASK] , everyone survived . [SEP]",0.4979290254,5
"[CLS] afterwards , he realized that [MASK] was ill - advised . [SEP]",0.5693458617,6
[CLS] he was really bummed but decided to take [MASK] . [SEP],0.6648682058,7
[CLS] my friends and i tried to make an [MASK] movie and i was the stuntman . [SEP],0.7251900733,8
[CLS] he bought a batman [MASK] figure . [SEP],0.8535751104,9
"[CLS] thinking about the best course of [MASK] , she made a call . [SEP]",0.9973487556,10
[CLS] robin was a very famous [MASK] . [SEP],0.0910493992,1
[CLS] morgan had always wanted to be an [MASK] . [SEP],0.1573900208,2
[CLS] ryan is a tv [MASK] . [SEP],0.2260732949,3
"[CLS] instead of spouting equations , he 'd imitate a famous hollywood [MASK] . [SEP]",0.391096279,4
[CLS] lucy dreams of being an [MASK] . [SEP],0.4668068588,5
[CLS] the lead [MASK] in our school play was afraid of rabbits . [SEP],0.583938539,6
[CLS] paul is an [MASK] . [SEP],0.6123145521,7
[CLS] aaron was an [MASK] in a play . [SEP],0.7094044685,8
"[CLS] that led to an acting career , and now he is the best [MASK] ever . [SEP]",0.82618016,9
[CLS] tanner was an [MASK] in a play . [SEP],0.9279657602,10
[CLS] sara sadly realized she had forgotten to [MASK] the egg ! [SEP],0.0967903286,1
