category,constraint,target,related,unrelated,context,related_context,unrelated_context
open_class,high,abandon,disown,provision,"[CLS] thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] disown. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] provision. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]"
open_class,high,abandon,maroon,cure,"[CLS] thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] maroon. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] cure. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]"
open_class,low,abandon,disown,provision,"[CLS] he decided to eat , and [MASK] his stuff . [SEP]","[CLS] disown. he decided to eat , and [MASK] his stuff . [SEP]","[CLS] provision. he decided to eat , and [MASK] his stuff . [SEP]"
open_class,low,abandon,maroon,cure,"[CLS] he decided to eat , and [MASK] his stuff . [SEP]","[CLS] maroon. he decided to eat , and [MASK] his stuff . [SEP]","[CLS] cure. he decided to eat , and [MASK] his stuff . [SEP]"
open_class,high,ability,capability,fuel,[CLS] it won for its [MASK] to solve problems . [SEP],[CLS] capability. it won for its [MASK] to solve problems . [SEP],[CLS] fuel. it won for its [MASK] to solve problems . [SEP]
open_class,high,ability,means,fishing,[CLS] it won for its [MASK] to solve problems . [SEP],[CLS] means. it won for its [MASK] to solve problems . [SEP],[CLS] fishing. it won for its [MASK] to solve problems . [SEP]
open_class,low,ability,capability,fuel,[CLS] he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] capability. he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] fuel. he wanted the [MASK] to get to the news before anyone else . [SEP]
open_class,low,ability,means,fishing,[CLS] he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] means. he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] fishing. he wanted the [MASK] to get to the news before anyone else . [SEP]
open_class,high,abnormal,normal,egypt,[CLS] test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] normal. test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] egypt. test reveals that cara has an [MASK] heart rhythm . [SEP]
open_class,high,abnormal,irregular,socket,[CLS] test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] irregular. test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] socket. test reveals that cara has an [MASK] heart rhythm . [SEP]
open_class,low,abnormal,normal,egypt,[CLS] she did a presentation focusing on the [MASK] thinness of models . [SEP],[CLS] normal. she did a presentation focusing on the [MASK] thinness of models . [SEP],[CLS] egypt. she did a presentation focusing on the [MASK] thinness of models . [SEP]
open_class,low,abnormal,irregular,socket,[CLS] she did a presentation focusing on the [MASK] thinness of models . [SEP],[CLS] irregular. she did a presentation focusing on the [MASK] thinness of models . [SEP],[CLS] socket. she did a presentation focusing on the [MASK] thinness of models . [SEP]
open_class,high,abuse,use,disgusting,[CLS] she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],[CLS] use. she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],[CLS] disgusting. she dealt with verbal [MASK] from her spouse on a daily basis . [SEP]
open_class,high,abuse,torture,heroin,[CLS] she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],[CLS] torture. she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],[CLS] heroin. she dealt with verbal [MASK] from her spouse on a daily basis . [SEP]
