category,constraint,target,related,unrelated,isolated_context,related_context,unrelated_context,isolated_probability,isolated_rank,related_probability,related_rank,unrelated_probability,unrelated_rank
open_class,high,abandon,disown,provision,"[CLS] thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] disown. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] provision. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]",0.3627057671546936,1,0.5241022706031799,1,0.3925617039203644,1
open_class,high,abandon,maroon,cure,"[CLS] thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] maroon. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] cure. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]",0.3627057671546936,1,0.29443827271461487,1,0.3006129860877991,1
open_class,low,abandon,disown,provision,"[CLS] he decided to eat , and [MASK] his stuff . [SEP]","[CLS] disown. he decided to eat , and [MASK] his stuff . [SEP]","[CLS] provision. he decided to eat , and [MASK] his stuff . [SEP]",3.914893022738397e-05,461,7.129389268811792e-05,430,4.820735921384767e-05,495
open_class,low,abandon,maroon,cure,"[CLS] he decided to eat , and [MASK] his stuff . [SEP]","[CLS] maroon. he decided to eat , and [MASK] his stuff . [SEP]","[CLS] cure. he decided to eat , and [MASK] his stuff . [SEP]",3.914893022738397e-05,461,5.23584931215737e-05,431,6.830794154666364e-05,496
open_class,high,ability,capability,fuel,[CLS] it won for its [MASK] to solve problems . [SEP],[CLS] capability. it won for its [MASK] to solve problems . [SEP],[CLS] fuel. it won for its [MASK] to solve problems . [SEP],0.9660305976867676,1,0.957402765750885,1,0.9460289478302002,1
open_class,high,ability,means,fishing,[CLS] it won for its [MASK] to solve problems . [SEP],[CLS] means. it won for its [MASK] to solve problems . [SEP],[CLS] fishing. it won for its [MASK] to solve problems . [SEP],0.9660305976867676,1,0.9323761463165283,1,0.956529438495636,1
open_class,low,ability,capability,fuel,[CLS] he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] capability. he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] fuel. he wanted the [MASK] to get to the news before anyone else . [SEP],5.402659735409543e-05,802,3.669756551971659e-05,1113,2.4225935703725554e-05,1571
open_class,low,ability,means,fishing,[CLS] he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] means. he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] fishing. he wanted the [MASK] to get to the news before anyone else . [SEP],5.402659735409543e-05,802,3.184066736139357e-05,1304,5.1355415052967146e-05,968
open_class,high,abnormal,normal,egypt,[CLS] test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] normal. test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] egypt. test reveals that cara has an [MASK] heart rhythm . [SEP],0.3753819167613983,1,0.4635637700557709,1,0.5133512020111084,1
open_class,high,abnormal,irregular,socket,[CLS] test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] irregular. test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] socket. test reveals that cara has an [MASK] heart rhythm . [SEP],0.3753819167613983,1,0.4197472631931305,1,0.40384823083877563,1
open_class,low,abnormal,normal,egypt,[CLS] she did a presentation focusing on the [MASK] thinness of models . [SEP],[CLS] normal. she did a presentation focusing on the [MASK] thinness of models . [SEP],[CLS] egypt. she did a presentation focusing on the [MASK] thinness of models . [SEP],0.0005658218869939446,113,0.0009420244605280459,68,0.000814914470538497,98
open_class,low,abnormal,irregular,socket,[CLS] she did a presentation focusing on the [MASK] thinness of models . [SEP],[CLS] irregular. she did a presentation focusing on the [MASK] thinness of models . [SEP],[CLS] socket. she did a presentation focusing on the [MASK] thinness of models . [SEP],0.0005658218869939446,113,0.0007157179061323404,131,0.0006708755390718579,128
open_class,high,abuse,use,disgusting,[CLS] she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],[CLS] use. she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],[CLS] disgusting. she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],0.8565894365310669,1,0.7355855703353882,1,0.892831563949585,1
open_class,high,abuse,torture,heroin,[CLS] she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],[CLS] torture. she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],[CLS] heroin. she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],0.8565894365310669,1,0.9169417023658752,1,0.8337109684944153,1
open_class,low,abuse,use,disgusting,[CLS] he faced endless [MASK] from his friends as a result . [SEP],[CLS] use. he faced endless [MASK] from his friends as a result . [SEP],[CLS] disgusting. he faced endless [MASK] from his friends as a result . [SEP],0.03733409568667412,5,0.030608585104346275,5,0.02442830614745617,8
open_class,low,abuse,torture,heroin,[CLS] he faced endless [MASK] from his friends as a result . [SEP],[CLS] torture. he faced endless [MASK] from his friends as a result . [SEP],[CLS] heroin. he faced endless [MASK] from his friends as a result . [SEP],0.03733409568667412,5,0.06896621733903885,3,0.03460191935300827,5
open_class,high,accept,reject,jock,"[CLS] i apologized , but he said he did n't [MASK] my apology . [SEP]","[CLS] reject. i apologized , but he said he did n't [MASK] my apology . [SEP]","[CLS] jock. i apologized , but he said he did n't [MASK] my apology . [SEP]",0.5693507790565491,1,0.8083294630050659,1,0.7730026245117188,1
open_class,high,accept,forgive,famous,"[CLS] i apologized , but he said he did n't [MASK] my apology . [SEP]","[CLS] forgive. i apologized , but he said he did n't [MASK] my apology . [SEP]","[CLS] famous. i apologized , but he said he did n't [MASK] my apology . [SEP]",0.5693507790565491,1,0.6819948554039001,1,0.7794644832611084,1
open_class,low,accept,reject,jock,[CLS] chad attempted to [MASK] a new task . [SEP],[CLS] reject. chad attempted to [MASK] a new task . [SEP],[CLS] jock. chad attempted to [MASK] a new task . [SEP],0.002871311968192458,45,0.005943122319877148,28,0.004085004795342684,35
open_class,low,accept,forgive,famous,[CLS] chad attempted to [MASK] a new task . [SEP],[CLS] forgive. chad attempted to [MASK] a new task . [SEP],[CLS] famous. chad attempted to [MASK] a new task . [SEP],0.002871311968192458,45,0.004827250260859728,31,0.003957848530262709,34
open_class_problems,high,account,checking,now,[CLS] tom needed to get a bank [MASK] . [SEP],[CLS] checking. tom needed to get a bank [MASK] . [SEP],[CLS] now. tom needed to get a bank [MASK] . [SEP],0.46807369589805603,1,0.4439917504787445,1,0.40644094347953796,1
open_class_problems,high,account,joint,scalpel,[CLS] tom needed to get a bank [MASK] . [SEP],[CLS] joint. tom needed to get a bank [MASK] . [SEP],[CLS] scalpel. tom needed to get a bank [MASK] . [SEP],0.46807369589805603,1,0.4075339138507843,1,0.3985789716243744,1
open_class_problems,low,account,checking,now,[CLS] tom was looking at his bank [MASK] . [SEP],[CLS] checking. tom was looking at his bank [MASK] . [SEP],[CLS] now. tom was looking at his bank [MASK] . [SEP],0.15133950114250183,2,0.11292536556720734,3,0.11599310487508774,3
open_class_problems,low,account,joint,scalpel,[CLS] tom was looking at his bank [MASK] . [SEP],[CLS] joint. tom was looking at his bank [MASK] . [SEP],[CLS] scalpel. tom was looking at his bank [MASK] . [SEP],0.15133950114250183,2,0.09628154337406158,3,0.12218338996171951,1
open_class,low,ache,stomach,reflection,[CLS] he threw up constantly and had a stomach [MASK] . [SEP],[CLS] stomach. he threw up constantly and had a stomach [MASK] . [SEP],[CLS] reflection. he threw up constantly and had a stomach [MASK] . [SEP],0.058801595121622086,5,0.11630865186452866,3,0.07534785568714142,5
open_class,low,ache,head,goo,[CLS] he threw up constantly and had a stomach [MASK] . [SEP],[CLS] head. he threw up constantly and had a stomach [MASK] . [SEP],[CLS] goo. he threw up constantly and had a stomach [MASK] . [SEP],0.058801595121622086,5,0.04603707417845726,5,0.07899746298789978,4
open_class,high,ache,stomach,reflection,[CLS] one day he got a tummy [MASK] from the grease . [SEP],[CLS] stomach. one day he got a tummy [MASK] from the grease . [SEP],[CLS] reflection. one day he got a tummy [MASK] from the grease . [SEP],0.4699486196041107,1,0.41166046261787415,1,0.4305897355079651,1
open_class,high,ache,head,goo,[CLS] one day he got a tummy [MASK] from the grease . [SEP],[CLS] head. one day he got a tummy [MASK] from the grease . [SEP],[CLS] goo. one day he got a tummy [MASK] from the grease . [SEP],0.4699486196041107,1,0.33437857031822205,1,0.36270150542259216,1
open_class,low,achieve,goal,girl,[CLS] mike was able to [MASK] a healthy weight . [SEP],[CLS] goal. mike was able to [MASK] a healthy weight . [SEP],[CLS] girl. mike was able to [MASK] a healthy weight . [SEP],0.004588169511407614,13,0.005594340618699789,12,0.008000068366527557,13
open_class,low,achieve,strive,taste,[CLS] mike was able to [MASK] a healthy weight . [SEP],[CLS] strive. mike was able to [MASK] a healthy weight . [SEP],[CLS] taste. mike was able to [MASK] a healthy weight . [SEP],0.004588169511407614,13,0.0056494479067623615,13,0.009888974949717522,11
open_class,high,achieve,goal,girl,[CLS] he decided to move to california to [MASK] his dreams . [SEP],[CLS] goal. he decided to move to california to [MASK] his dreams . [SEP],[CLS] girl. he decided to move to california to [MASK] his dreams . [SEP],0.030528858304023743,4,0.05008804798126221,4,0.043194420635700226,4
open_class,high,achieve,strive,taste,[CLS] he decided to move to california to [MASK] his dreams . [SEP],[CLS] strive. he decided to move to california to [MASK] his dreams . [SEP],[CLS] taste. he decided to move to california to [MASK] his dreams . [SEP],0.030528858304023743,4,0.03836209326982498,4,0.029745003208518028,5
open_class,low,act,perform,frisk,[CLS] the children began to [MASK] in a hyper manner . [SEP],[CLS] perform. the children began to [MASK] in a hyper manner . [SEP],[CLS] frisk. the children began to [MASK] in a hyper manner . [SEP],0.012314466759562492,15,0.03685610368847847,10,0.012952586635947227,16
