category,constraint,target,related,unrelated,isolated_context,related_context,unrelated_context,isolated_probability,isolated_rank,related_probability,related_rank,unrelated_probability,unrelated_rank
open_class,high,abandon,disown,provision,"[CLS] thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] the next word is disown. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] the next word is provision. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]",0.2770787179470062,1,0.17580264806747437,2,0.17432869970798492,2
open_class,high,abandon,maroon,cure,"[CLS] thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] the next word is maroon. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]","[CLS] the next word is cure. thinking of monet , jane decided to [MASK] realism and focus on color . [SEP]",0.2770787179470062,1,0.12994663417339325,3,0.17318928241729736,2
open_class,low,abandon,disown,provision,"[CLS] he decided to eat , and [MASK] his stuff . [SEP]","[CLS] the next word is disown. he decided to eat , and [MASK] his stuff . [SEP]","[CLS] the next word is provision. he decided to eat , and [MASK] his stuff . [SEP]",8.532001811545342e-05,472,7.025463128229603e-05,529,6.751629553036764e-05,551
open_class,low,abandon,maroon,cure,"[CLS] he decided to eat , and [MASK] his stuff . [SEP]","[CLS] the next word is maroon. he decided to eat , and [MASK] his stuff . [SEP]","[CLS] the next word is cure. he decided to eat , and [MASK] his stuff . [SEP]",8.532001811545342e-05,472,9.230001160176471e-05,470,8.507251914124936e-05,487
open_class,high,ability,capability,fuel,[CLS] it won for its [MASK] to solve problems . [SEP],[CLS] the next word is capability. it won for its [MASK] to solve problems . [SEP],[CLS] the next word is fuel. it won for its [MASK] to solve problems . [SEP],0.8868726491928101,1,0.9424670338630676,1,0.9333931803703308,1
open_class,high,ability,means,fishing,[CLS] it won for its [MASK] to solve problems . [SEP],[CLS] the next word is means. it won for its [MASK] to solve problems . [SEP],[CLS] the next word is fishing. it won for its [MASK] to solve problems . [SEP],0.8868726491928101,1,0.9208996295928955,1,0.9437244534492493,1
open_class,low,ability,capability,fuel,[CLS] he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] the next word is capability. he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] the next word is fuel. he wanted the [MASK] to get to the news before anyone else . [SEP],0.000133829380501993,668,0.00015981199976522475,676,0.00011232967517571524,906
open_class,low,ability,means,fishing,[CLS] he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] the next word is means. he wanted the [MASK] to get to the news before anyone else . [SEP],[CLS] the next word is fishing. he wanted the [MASK] to get to the news before anyone else . [SEP],0.000133829380501993,668,0.00028390204533934593,393,9.41840626182966e-05,885
open_class,high,abnormal,normal,egypt,[CLS] test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] the next word is normal. test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] the next word is egypt. test reveals that cara has an [MASK] heart rhythm . [SEP],0.21009407937526703,2,0.2725512385368347,2,0.2253757119178772,2
open_class,high,abnormal,irregular,socket,[CLS] test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] the next word is irregular. test reveals that cara has an [MASK] heart rhythm . [SEP],[CLS] the next word is socket. test reveals that cara has an [MASK] heart rhythm . [SEP],0.21009407937526703,2,0.0666847825050354,2,0.19312530755996704,2
open_class,low,abnormal,normal,egypt,[CLS] she did a presentation focusing on the [MASK] thinness of models . [SEP],[CLS] the next word is normal. she did a presentation focusing on the [MASK] thinness of models . [SEP],[CLS] the next word is egypt. she did a presentation focusing on the [MASK] thinness of models . [SEP],0.0006709224544465542,161,0.0018438316183164716,66,0.0006337595405057073,184
open_class,low,abnormal,irregular,socket,[CLS] she did a presentation focusing on the [MASK] thinness of models . [SEP],[CLS] the next word is irregular. she did a presentation focusing on the [MASK] thinness of models . [SEP],[CLS] the next word is socket. she did a presentation focusing on the [MASK] thinness of models . [SEP],0.0006709224544465542,161,0.0012049466604366899,109,0.0004336006531957537,237
open_class,high,abuse,use,disgusting,[CLS] she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],[CLS] the next word is use. she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],[CLS] the next word is disgusting. she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],0.7737047076225281,1,0.8390393257141113,1,0.8728919625282288,1
open_class,high,abuse,torture,heroin,[CLS] she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],[CLS] the next word is torture. she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],[CLS] the next word is heroin. she dealt with verbal [MASK] from her spouse on a daily basis . [SEP],0.7737047076225281,1,0.9080831408500671,1,0.9483084082603455,1
open_class,low,abuse,use,disgusting,[CLS] he faced endless [MASK] from his friends as a result . [SEP],[CLS] the next word is use. he faced endless [MASK] from his friends as a result . [SEP],[CLS] the next word is disgusting. he faced endless [MASK] from his friends as a result . [SEP],0.06618525832891464,2,0.13536995649337769,1,0.15485158562660217,1
open_class,low,abuse,torture,heroin,[CLS] he faced endless [MASK] from his friends as a result . [SEP],[CLS] the next word is torture. he faced endless [MASK] from his friends as a result . [SEP],[CLS] the next word is heroin. he faced endless [MASK] from his friends as a result . [SEP],0.06618525832891464,2,0.3019494414329529,1,0.27679333090782166,1
open_class,high,accept,reject,jock,"[CLS] i apologized , but he said he did n't [MASK] my apology . [SEP]","[CLS] the next word is reject. i apologized , but he said he did n't [MASK] my apology . [SEP]","[CLS] the next word is jock. i apologized , but he said he did n't [MASK] my apology . [SEP]",0.31258442997932434,1,0.516406774520874,1,0.2636376619338989,1
open_class,high,accept,forgive,famous,"[CLS] i apologized , but he said he did n't [MASK] my apology . [SEP]","[CLS] the next word is forgive. i apologized , but he said he did n't [MASK] my apology . [SEP]","[CLS] the next word is famous. i apologized , but he said he did n't [MASK] my apology . [SEP]",0.31258442997932434,1,0.2287486493587494,1,0.23473525047302246,1
open_class,low,accept,reject,jock,[CLS] chad attempted to [MASK] a new task . [SEP],[CLS] the next word is reject. chad attempted to [MASK] a new task . [SEP],[CLS] the next word is jock. chad attempted to [MASK] a new task . [SEP],0.003278793301433325,31,0.0017946709413081408,44,0.0008820008370094001,93
open_class,low,accept,forgive,famous,[CLS] chad attempted to [MASK] a new task . [SEP],[CLS] the next word is forgive. chad attempted to [MASK] a new task . [SEP],[CLS] the next word is famous. chad attempted to [MASK] a new task . [SEP],0.003278793301433325,31,0.0021386512089520693,36,0.0005672028055414557,100
open_class_problems,high,account,checking,now,[CLS] tom needed to get a bank [MASK] . [SEP],[CLS] the next word is checking. tom needed to get a bank [MASK] . [SEP],[CLS] the next word is now. tom needed to get a bank [MASK] . [SEP],0.5040493011474609,1,0.5133059024810791,1,0.5367498397827148,1
open_class_problems,high,account,joint,scalpel,[CLS] tom needed to get a bank [MASK] . [SEP],[CLS] the next word is joint. tom needed to get a bank [MASK] . [SEP],[CLS] the next word is scalpel. tom needed to get a bank [MASK] . [SEP],0.5040493011474609,1,0.4942820966243744,1,0.41441234946250916,1
open_class_problems,low,account,checking,now,[CLS] tom was looking at his bank [MASK] . [SEP],[CLS] the next word is checking. tom was looking at his bank [MASK] . [SEP],[CLS] the next word is now. tom was looking at his bank [MASK] . [SEP],0.16614103317260742,1,0.20440611243247986,1,0.17006883025169373,1
open_class_problems,low,account,joint,scalpel,[CLS] tom was looking at his bank [MASK] . [SEP],[CLS] the next word is joint. tom was looking at his bank [MASK] . [SEP],[CLS] the next word is scalpel. tom was looking at his bank [MASK] . [SEP],0.16614103317260742,1,0.20631803572177887,1,0.13999663293361664,1
open_class,low,ache,stomach,reflection,[CLS] he threw up constantly and had a stomach [MASK] . [SEP],[CLS] the next word is stomach. he threw up constantly and had a stomach [MASK] . [SEP],[CLS] the next word is reflection. he threw up constantly and had a stomach [MASK] . [SEP],0.061345767229795456,5,0.021738577634096146,7,0.07402012497186661,5
open_class,low,ache,head,goo,[CLS] he threw up constantly and had a stomach [MASK] . [SEP],[CLS] the next word is head. he threw up constantly and had a stomach [MASK] . [SEP],[CLS] the next word is goo. he threw up constantly and had a stomach [MASK] . [SEP],0.061345767229795456,5,0.07325039803981781,5,0.05716825649142265,4
